condition,mode,shortlist_dim,K,lat_ms,ceiling,r1,r5,r10,gallery,n_gallery,r1_ret,speedup
baseline,exact,512,0,3.160981000000902,,51.46,72.8,79.22,cross_domain,31504,100.0,1.0
pca,exact,512,0,3.160981000000902,,49.36,69.88,75.98,cross_domain,31504,100.0,1.0
adapter_plain,exact,512,0,3.160981000000902,,53.08,74.56,80.32,cross_domain,31504,100.0,1.0
adapter_mrl,exact,512,0,3.160981000000902,,53.56,74.88,80.22,cross_domain,31504,100.0,1.0
baseline,cascade,32,10,0.1219666666656849,7.18,6.7,7.16,7.18,cross_domain,31504,13.019821220365332,25.916761410437385
baseline,cascade,32,50,0.14095200000156183,16.5,13.96,16.14,16.36,cross_domain,31504,27.12786630392538,22.425939326620952
baseline,cascade,32,100,0.1864193333434135,22.76,18.14,21.84,22.3,cross_domain,31504,35.25068013991449,16.95629387418676
baseline,cascade,32,500,0.3882876666709005,42.44,29.2,38.0,39.7,cross_domain,31504,56.74310143801011,8.140822568747833
baseline,cascade,32,1000,1.080130333333121,54.42,35.36,46.98,49.5,cross_domain,31504,68.71356393315196,2.926481094412548
pca,cascade,32,10,0.1219666666656849,42.46,33.46,41.8,42.46,cross_domain,31504,67.78768233387358,25.916761410437385
pca,cascade,32,50,0.14095200000156183,65.84,43.02,58.5,62.06,cross_domain,31504,87.15559157212317,22.425939326620952
pca,cascade,32,100,0.1864193333434135,75.3,45.84,63.14,68.06,cross_domain,31504,92.86871961102108,16.95629387418676
pca,cascade,32,500,0.3882876666709005,91.52,48.84,68.62,74.62,cross_domain,31504,98.94651539708266,8.140822568747833
pca,cascade,32,1000,1.080130333333121,95.52,49.14,69.48,75.5,cross_domain,31504,99.55429497568882,2.926481094412548
adapter_plain,cascade,32,10,0.1219666666656849,40.02,33.96,39.76,40.02,cross_domain,31504,63.97889977392615,25.916761410437385
adapter_plain,cascade,32,50,0.14095200000156183,57.94,42.98,55.06,56.74,cross_domain,31504,80.97211755840242,22.425939326620952
adapter_plain,cascade,32,100,0.1864193333434135,66.02,46.34,60.78,63.2,cross_domain,31504,87.30218538055765,16.95629387418676
adapter_plain,cascade,32,500,0.3882876666709005,82.56,51.18,70.1,74.36,cross_domain,31504,96.42049736247175,8.140822568747833
adapter_plain,cascade,32,1000,1.080130333333121,88.28,52.16,72.34,77.1,cross_domain,31504,98.26676714393369,2.926481094412548
adapter_mrl,cascade,32,10,0.1219666666656849,70.82,52.12,68.86,70.82,cross_domain,31504,97.31142643764002,25.916761410437385
adapter_mrl,cascade,32,50,0.14095200000156183,84.98,53.38,73.92,78.56,cross_domain,31504,99.663928304705,22.425939326620952
adapter_mrl,cascade,32,100,0.1864193333434135,89.34,53.48,74.52,79.4,cross_domain,31504,99.85063480209111,16.95629387418676
