condition,mode,shortlist_dim,K,lat_ms,ceiling,r1,r5,r10,r1_ret,speedup
baseline,exact,512,0,3.1864666666660924,,32.3,54.18,63.96,100.0,1.0
pca,exact,512,0,3.1864666666660924,,32.3,53.94,62.62,100.0,1.0
adapter_plain,exact,512,0,3.1864666666660924,,32.18,56.7,65.6,100.0,1.0
adapter_mrl,exact,512,0,3.1864666666660924,,32.12,56.02,65.28,100.0,1.0
baseline,cascade,32,10,0.1114179999907113,3.88,3.34,3.84,3.88,10.340557275541796,28.599208987163134
baseline,cascade,32,50,0.13277333332856264,10.26,7.22,9.36,9.9,22.35294117647059,23.999297048457915
baseline,cascade,32,100,0.17278266666835407,15.54,9.74,13.7,14.58,30.15479876160991,18.442050514142853
baseline,cascade,32,500,0.38485133334082394,33.72,16.86,25.98,28.8,52.19814241486068,8.279733992357409
baseline,cascade,32,1000,1.0076266666631757,44.62,20.88,32.38,36.3,64.64396284829722,3.1623484888686937
pca,cascade,32,10,0.1114179999907113,27.08,18.96,26.22,27.08,58.69969040247678,28.599208987163134
pca,cascade,32,50,0.13277333332856264,50.7,26.38,40.76,45.28,81.671826625387,23.999297048457915
pca,cascade,32,100,0.17278266666835407,62.22,28.6,45.48,51.72,88.54489164086688,18.442050514142853
pca,cascade,32,500,0.38485133334082394,85.96,31.66,52.32,60.4,98.0185758513932,8.279733992357409
pca,cascade,32,1000,1.0076266666631757,92.34,32.04,53.38,61.82,99.1950464396285,3.1623484888686937
adapter_plain,cascade,32,10,0.1114179999907113,30.16,21.38,29.16,30.16,66.43878185208204,28.599208987163134
adapter_plain,cascade,32,50,0.13277333332856264,50.22,26.76,42.14,46.94,83.15724052206339,23.999297048457915
adapter_plain,cascade,32,100,0.17278266666835407,59.7,28.6,46.54,52.58,88.87507768800498,18.442050514142853
adapter_plain,cascade,32,500,0.38485133334082394,79.82,31.24,53.78,61.64,97.07893101305159,8.279733992357409
adapter_plain,cascade,32,1000,1.0076266666631757,86.5,31.78,55.52,63.68,98.75699192044749,3.1623484888686937
adapter_mrl,cascade,32,10,0.1114179999907113,54.0,30.7,49.76,54.0,95.57907845579079,28.599208987163134
adapter_mrl,cascade,32,50,0.13277333332856264,77.0,31.9,55.32,64.12,99.31506849315069,23.999297048457915
adapter_mrl,cascade,32,100,0.17278266666835407,84.48,32.02,55.78,64.78,99.6886674968867,18.442050514142853
adapter_mrl,cascade,32,500,0.38485133334082394,95.42,32.12,56.02,65.26,100.0,8.279733992357409
adapter_mrl,cascade,32,1000,1.0076266666631757,97.66,32.12,56.02,65.28,100.0,3.1623484888686937
baseline,cascade,64,10,0.18819966667554885,9.74,7.86,9.62,9.74,24.334365325077403,16.931308768784778
baseline,cascade,64,50,0.21126499999809312,22.8,14.56,20.24,21.74,45.077399380804955,15.082794910159532
baseline,cascade,64,100,0.2618789999905857,30.24,17.74,25.26,27.62,54.922600619195045,12.16770595114783
baseline,cascade,64,500,0.4556716666653908,54.76,24.86,39.26,44.38,76.96594427244582,6.9929005899899
baseline,cascade,64,1000,1.1327910000060608,65.74,27.28,44.22,50.46,84.45820433436533,2.8129343070778665
pca,cascade,64,10,0.18819966667554885,47.84,29.1,44.68,47.84,90.09287925696596,16.931308768784778
pca,cascade,64,50,0.21126499999809312,71.02,31.56,51.74,59.18,97.70897832817339,15.082794910159532
pca,cascade,64,100,0.2618789999905857,80.12,32.06,53.02,61.16,99.25696594427245,12.16770595114783
pca,cascade,64,500,0.4556716666653908,93.6,32.3,53.86,62.5,100.0,6.9929005899899
pca,cascade,64,1000,1.1327910000060608,96.4,32.3,53.92,62.62,100.0,2.8129343070778665
adapter_plain,cascade,64,10,0.18819966667554885,46.06,28.6,43.96,46.06,88.87507768800498,16.931308768784778
adapter_plain,cascade,64,50,0.21126499999809312,69.18,31.46,53.3,60.8,97.76258545680547,15.082794910159532
adapter_plain,cascade,64,100,0.2618789999905857,77.74,31.88,55.14,63.26,99.06774394033562,12.16770595114783
adapter_plain,cascade,64,500,0.4556716666653908,91.3,32.14,56.52,65.3,99.87569919204475,6.9929005899899
adapter_plain,cascade,64,1000,1.1327910000060608,94.5,32.18,56.7,65.52,100.0,2.8129343070778665
adapter_mrl,cascade,64,10,0.18819966667554885,61.0,31.8,54.32,61.0,99.00373599003737,16.931308768784778
adapter_mrl,cascade,64,50,0.21126499999809312,81.26,32.1,56.0,65.0,99.93773349937734,15.082794910159532
adapter_mrl,cascade,64,100,0.2618789999905857,87.44,32.12,56.0,65.26,100.0,12.16770595114783
adapter_mrl,cascade,64,500,0.4556716666653908,96.58,32.12,56.02,65.28,100.0,6.9929005899899
adapter_mrl,cascade,64,1000,1.1327910000060608,98.42,32.12,56.02,65.28,100.0,2.8129343070778665
baseline,cascade,128,10,0.4264296666588052,25.88,18.94,24.94,25.88,58.63777089783283,7.472431952572491
baseline,cascade,128,50,0.45627699999992427,45.66,25.14,38.08,42.06,77.83281733746131,6.983623252249448
baseline,cascade,128,100,0.5185786666697823,56.08,27.9,43.4,49.0,86.37770897832819,6.144615795958212
baseline,cascade,128,500,0.7861833333299728,78.28,31.32,51.12,58.94,96.96594427244582,4.053083462313344
baseline,cascade,128,1000,1.5616910000001856,85.92,32.02,53.34,61.82,99.13312693498455,2.040395101633879
pca,cascade,128,10,0.4264296666588052,59.24,32.1,52.72,59.24,99.38080495356039,7.472431952572491
pca,cascade,128,50,0.45627699999992427,78.9,32.24,53.74,62.34,99.81424148606813,6.983623252249448
pca,cascade,128,100,0.5185786666697823,85.72,32.24,53.86,62.54,99.81424148606813,6.144615795958212
pca,cascade,128,500,0.7861833333299728,95.36,32.3,53.94,62.62,100.0,4.053083462313344
pca,cascade,128,1000,1.5616910000001856,97.58,32.3,53.94,62.62,100.0,2.040395101633879
adapter_plain,cascade,128,10,0.4264296666588052,56.8,31.62,51.88,56.8,98.25978868862647,7.472431952572491
adapter_plain,cascade,128,50,0.45627699999992427,77.62,32.14,56.16,64.78,99.87569919204475,6.983623252249448
adapter_plain,cascade,128,100,0.5185786666697823,85.18,32.18,56.52,65.34,100.0,6.144615795958212
adapter_plain,cascade,128,500,0.7861833333299728,94.74,32.18,56.7,65.6,100.0,4.053083462313344
adapter_plain,cascade,128,1000,1.5616910000001856,97.02,32.18,56.7,65.6,100.0,2.040395101633879
adapter_mrl,cascade,128,10,0.4264296666588052,63.3,32.04,55.42,63.3,99.75093399750935,7.472431952572491
adapter_mrl,cascade,128,50,0.45627699999992427,83.1,32.12,56.02,65.26,100.0,6.983623252249448
adapter_mrl,cascade,128,100,0.5185786666697823,88.66,32.12,56.02,65.28,100.0,6.144615795958212
adapter_mrl,cascade,128,500,0.7861833333299728,96.84,32.12,56.02,65.28,100.0,4.053083462313344
adapter_mrl,cascade,128,1000,1.5616910000001856,98.58,32.12,56.02,65.28,100.0,2.040395101633879
