condition,mode,shortlist_dim,K,lat_ms,ceiling,r1,r5,r10,gallery,n_gallery,r1_ret,speedup
baseline,exact,512,0,0.34281766666633,,47.72,72.74,80.44,same_domain,7000,100.0,1.0
pca,exact,512,0,0.34281766666633,,47.78,70.84,79.2,same_domain,7000,100.0,1.0
adapter_plain,exact,512,0,0.34281766666633,,48.54,74.04,81.98,same_domain,7000,100.0,1.0
adapter_mrl,exact,512,0,0.34281766666633,,47.96,72.84,81.9,same_domain,7000,100.0,1.0
baseline,cascade,32,10,0.03749733333582602,9.3,8.18,9.22,9.3,same_domain,7000,17.14165968147527,9.142454573930788
baseline,cascade,32,50,0.05492733333085198,23.16,17.56,21.92,22.82,same_domain,7000,36.797988264878455,6.241294559147544
baseline,cascade,32,100,0.0854083333251765,31.8,22.4,29.2,30.66,same_domain,7000,46.94048616932104,4.013866719083662
baseline,cascade,32,500,0.24111533333780244,59.4,35.26,50.02,54.28,same_domain,7000,73.88935456831517,1.4217995260634986
baseline,cascade,32,1000,0.8939279999928355,73.26,40.52,58.88,64.74,same_domain,7000,84.91198658843254,0.38349583710218005
pca,cascade,32,10,0.03749733333582602,48.64,35.34,47.22,48.64,same_domain,7000,73.96400167434074,9.142454573930788
pca,cascade,32,50,0.05492733333085198,74.96,44.22,63.5,69.54,same_domain,7000,92.54918375889493,6.241294559147544
pca,cascade,32,100,0.0854083333251765,84.44,46.28,67.54,74.54,same_domain,7000,96.86061113436584,4.013866719083662
pca,cascade,32,500,0.24111533333780244,96.86,47.64,70.56,78.84,same_domain,7000,99.70699037254082,1.4217995260634986
pca,cascade,32,1000,0.8939279999928355,98.68,47.72,70.74,79.14,same_domain,7000,99.87442444537463,0.38349583710218005
adapter_plain,cascade,32,10,0.03749733333582602,48.24,36.44,47.36,48.24,same_domain,7000,75.07210548001649,9.142454573930788
adapter_plain,cascade,32,50,0.05492733333085198,70.0,43.98,62.98,67.54,same_domain,7000,90.60568603213845,6.241294559147544
adapter_plain,cascade,32,100,0.0854083333251765,78.18,46.2,67.26,73.2,same_domain,7000,95.17923362175526,4.013866719083662
adapter_plain,cascade,32,500,0.24111533333780244,92.32,48.12,73.02,80.54,same_domain,7000,99.13473423980223,1.4217995260634986
adapter_plain,cascade,32,1000,0.8939279999928355,96.06,48.42,73.88,81.62,same_domain,7000,99.75278121137207,0.38349583710218005
adapter_mrl,cascade,32,10,0.03749733333582602,74.26,47.18,69.72,74.26,same_domain,7000,98.37364470391994,9.142454573930788
adapter_mrl,cascade,32,50,0.05492733333085198,90.42,47.88,72.56,81.24,same_domain,7000,99.83319432860718,6.241294559147544
adapter_mrl,cascade,32,100,0.0854083333251765,94.68,47.94,72.7,81.68,same_domain,7000,99.9582985821518,4.013866719083662
adapter_mrl,cascade,32,500,0.24111533333780244,98.94,47.96,72.84,81.9,same_domain,7000,100.0,1.4217995260634986
adapter_mrl,cascade,32,1000,0.8939279999928355,99.66,47.96,72.84,81.9,same_domain,7000,100.0,0.38349583710218005
baseline,cascade,64,10,0.05907366665875694,20.96,17.0,20.76,20.96,same_domain,7000,35.62447611064543,5.803223095099879
baseline,cascade,64,50,0.07460400000127265,41.08,28.68,38.08,39.86,same_domain,7000,60.10058675607712,4.595164691711999
baseline,cascade,64,100,0.1083923333256583,52.14,33.7,46.58,49.6,same_domain,7000,70.6202849958089,3.162748288076379
baseline,cascade,64,500,0.26305966667374986,78.24,43.32,64.06,69.84,same_domain,7000,90.77954735959766,1.3031935720176255
baseline,cascade,64,1000,0.9176619999925606,86.78,45.14,67.4,74.68,same_domain,7000,94.59346186085499,0.3735772720992143
pca,cascade,64,10,0.05907366665875694,68.76,45.66,64.82,68.76,same_domain,7000,95.56299706990373,5.803223095099879
pca,cascade,64,50,0.07460400000127265,87.52,47.52,70.06,77.86,same_domain,7000,99.45583926329007,4.595164691711999
pca,cascade,64,100,0.1083923333256583,93.06,47.72,70.64,78.8,same_domain,7000,99.87442444537463,3.162748288076379
pca,cascade,64,500,0.26305966667374986,98.64,47.78,70.84,79.2,same_domain,7000,100.0,1.3031935720176255
pca,cascade,64,1000,0.9176619999925606,99.6,47.78,70.84,79.2,same_domain,7000,100.0,0.3735772720992143
adapter_plain,cascade,64,10,0.05907366665875694,67.0,45.92,64.46,67.0,same_domain,7000,94.6023897816234,5.803223095099879
adapter_plain,cascade,64,50,0.07460400000127265,85.18,48.02,72.12,79.18,same_domain,7000,98.92871858261228,4.595164691711999
adapter_plain,cascade,64,100,0.1083923333256583,90.08,48.32,73.3,80.84,same_domain,7000,99.54676555418212,3.162748288076379
adapter_plain,cascade,64,500,0.26305966667374986,97.42,48.54,73.98,82.06,same_domain,7000,100.0,1.3031935720176255
adapter_plain,cascade,64,1000,0.9176619999925606,98.74,48.54,74.02,82.02,same_domain,7000,100.0,0.3735772720992143
adapter_mrl,cascade,64,10,0.05907366665875694,78.28,47.78,71.88,78.28,same_domain,7000,99.62468723936614,5.803223095099879
