condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10,i2t_r1_ret,t2i_r1_ret
baseline,32,4.44,11.58,17.14,3.092,9.324,14.316,7.469717362045761,7.307619587823785
baseline,64,12.46,28.720000000000002,37.46,7.951999999999999,20.62,28.776000000000003,20.962314939434723,18.79372282094914
baseline,128,26.1,50.260000000000005,61.78,19.06,39.964,51.356,43.90982503364737,45.04632255624882
baseline,256,9.46,25.6,36.86,29.432000000000002,54.408,65.508,15.91520861372813,69.55946303649084
baseline,512,59.440000000000005,81.82000000000001,88.62,42.312,67.72399999999999,77.056,100.00000000000001,100.0
pca,32,5.5,18.060000000000002,27.32,11.020000000000001,27.864,37.828,9.605309116311561,27.07350628930818
pca,64,19.220000000000002,43.02,54.300000000000004,22.432,46.224,57.896,33.56618931191059,55.11006289308175
pca,128,40.339999999999996,68.32000000000001,77.46,34.064,60.572,70.948,70.45057631854698,83.687106918239
pca,256,54.26,77.96,85.46000000000001,39.808,65.29599999999999,75.224,94.76074048201188,97.79874213836479
pca,512,57.26,79.78,86.94,40.704,65.988,75.788,100.0,100.0
adapter_plain,32,20.419999999999998,41.9,53.92,14.027999999999999,32.151999999999994,42.628,38.36903419767005,37.087563451776646
adapter_plain,64,34.86,61.160000000000004,71.88,24.088,47.476,58.616,65.50169109357384,63.68443316412859
adapter_plain,128,43.64,69.86,79.66,30.703999999999997,55.664,66.616,81.99924840285607,81.17597292724194
adapter_plain,256,49.4,74.5,82.69999999999999,34.908,60.58,70.976,92.82224727546036,92.29060913705582
adapter_plain,512,53.22,77.06,85.2,37.824000000000005,63.800000000000004,73.756,100.0,100.0
adapter_mrl,32,36.4,63.080000000000005,73.76,26.06,50.564,61.656,68.16479400749063,68.59338808170142
adapter_mrl,64,44.74,71.6,80.72,31.452,57.336,68.448,83.78277153558052,82.78584965255844
adapter_mrl,128,48.66,74.46000000000001,83.48,34.588,60.372,71.208,91.12359550561797,91.04021899347232
adapter_mrl,256,50.82,75.96000000000001,84.92,36.248000000000005,62.175999999999995,72.744,95.16853932584269,95.40955990734894
adapter_mrl,512,53.400000000000006,78.08,86.11999999999999,37.992,63.88399999999999,74.176,100.0,100.0
