dataset,condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10
flickr30k,ctrl_adapter_only,32,77.3,95.3,98.2,62.18,87.08,92.67999999999999
flickr30k,ctrl_adapter_only,64,82.3,96.39999999999999,98.9,66.8,89.53999999999999,94.34
flickr30k,ctrl_adapter_only,128,84.1,96.89999999999999,99.0,68.7,90.48,94.66
flickr30k,ctrl_adapter_only,256,85.7,96.8,99.0,70.04,90.62,94.8
flickr30k,ctrl_adapter_only,512,85.39999999999999,97.2,99.0,70.28,90.86,95.08
coco,ctrl_adapter_only,32,36.4,63.04,73.98,25.932,50.364,61.576
coco,ctrl_adapter_only,64,44.5,71.16,80.56,31.532,57.204,68.112
coco,ctrl_adapter_only,128,47.9,73.94,83.28,34.344,60.15200000000001,70.824
coco,ctrl_adapter_only,256,49.94,75.42,84.3,35.856,61.78,72.37599999999999
coco,ctrl_adapter_only,512,52.35999999999999,77.25999999999999,85.61999999999999,37.632,63.304,73.68
