dataset,condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10
flickr30k,lora_distill8,32,79.4,96.6,98.8,64.60000000000001,88.53999999999999,93.82000000000001
flickr30k,lora_distill8,64,83.7,97.2,99.1,69.28,90.88000000000001,95.26
flickr30k,lora_distill8,128,86.6,97.6,98.9,71.0,91.52,95.58
flickr30k,lora_distill8,256,86.7,97.6,99.0,72.2,91.84,95.56
flickr30k,lora_distill8,512,86.0,97.8,99.4,72.94,92.2,95.78
coco,lora_distill8,32,39.32,65.28,75.74,27.964,52.791999999999994,64.064
coco,lora_distill8,64,46.56,72.5,81.92,33.212,59.008,69.696
coco,lora_distill8,128,49.68,75.26,84.14,35.952,61.524,72.14
coco,lora_distill8,256,51.739999999999995,77.03999999999999,85.39999999999999,37.16,63.12,73.35199999999999
coco,lora_distill8,512,53.68000000000001,78.06,86.24000000000001,38.68,64.564,74.624
