dataset,condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10
flickr30k,lora_mrl,32,79.7,96.7,98.9,65.52,88.94,94.24
flickr30k,lora_mrl,64,85.2,97.89999999999999,99.3,69.78,91.42,95.62
flickr30k,lora_mrl,128,86.5,97.6,99.2,71.76,91.82000000000001,95.82000000000001
flickr30k,lora_mrl,256,86.4,98.3,99.1,72.48,92.24,95.96000000000001
flickr30k,lora_mrl,512,86.5,98.2,99.3,73.5,92.36,96.17999999999999
coco,lora_mrl,32,40.18,66.28,76.66,29.427999999999997,54.452,65.33200000000001
coco,lora_mrl,64,47.620000000000005,72.94,82.24000000000001,34.256,60.104,70.628
coco,lora_mrl,128,50.56,75.52,84.36,36.728,62.572,72.844
coco,lora_mrl,256,52.080000000000005,76.55999999999999,85.16,38.064,64.008,73.976
coco,lora_mrl,512,53.959999999999994,77.72,86.24000000000001,39.36,65.244,74.872
