condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10,lat_ms_fp32,bytes_fp32,index_mb_fp32,lat_ms_fp16,bytes_fp16,index_mb_fp16,lat_ms_int8,bytes_int8,index_mb_int8,n_gallery,i2t_r1_ret,t2i_r1_ret
baseline,32,11.9,26.9,35.8,6.32,18.06,25.62,0.1069224999992002,128.0,3.969837,1.010278499998094,64.0,1.984977,0.7169640000029176,32.0,0.992785,31014,13.789107763615291,9.049255441008018
baseline,64,26.0,47.6,59.6,14.14,32.98,43.76,0.1722094999968249,256.0,7.939629,1.9341225000061968,128.0,3.969873,1.3898069999959262,64.0,1.985489,31014,30.127462340672075,20.24627720504009
baseline,128,50.4,75.3,84.0,33.36,59.96,70.39999999999999,0.3573504999985744,512.0,15.879213,3.916785500005062,256.0,7.939665,2.7981494999949064,128.0,3.970897,31014,58.40092699884125,47.76632302405498
baseline,256,39.8,77.10000000000001,87.5,50.16,76.68,85.39999999999999,1.254480000006879,1024.0,31.758381,7.847264499996527,512.0,15.879249,5.768394000006083,256.0,7.941713,31014,46.11819235225957,71.8213058419244
baseline,512,86.3,98.0,99.5,69.84,90.4,94.56,3.1553729999905045,2048.0,63.516717,15.891531500001292,1024.0,31.758417,11.544406499997422,512.0,15.883345,31014,100.0,100.0
pca,32,35.4,65.0,76.7,36.64,67.86,78.75999999999999,0.1289469999937864,128.0,3.969837,1.0113564999846858,64.0,1.984977,0.7518730000083451,32.0,0.992785,31014,42.04275534441805,53.317811408614666
pca,64,61.5,87.6,93.0,56.10000000000001,82.52000000000001,89.84,0.1966270000048098,256.0,7.939629,2.014918500008207,128.0,3.969873,1.4282710000043153,64.0,1.985489,31014,73.04038004750593,81.63562281722935
pca,128,78.5,94.0,97.0,65.10000000000001,88.1,93.02,0.4123669999898993,512.0,15.879213,3.988411999998789,256.0,7.939665,2.8948809999928926,128.0,3.970897,31014,93.23040380047506,94.73224679860304
pca,256,84.0,95.8,98.1,68.30000000000001,89.18,93.92,1.320355500010919,1024.0,31.758381,7.920344499998464,512.0,15.879249,5.739989999983663,256.0,7.941713,31014,99.7624703087886,99.38882421420256
pca,512,84.2,95.9,98.3,68.72,89.18,93.9,3.128816500011453,2048.0,63.516717,15.951058999999075,1024.0,31.758417,11.526675500008423,512.0,15.883345,31014,100.0,100.0
adapter_plain,32,52.0,77.8,87.9,37.42,63.54,73.74000000000001,0.102767499993206,128.0,3.969837,0.9931084999880112,64.0,1.984977,0.7487405000028957,32.0,0.992785,31014,60.115606936416185,52.26256983240224
adapter_plain,64,73.4,91.3,95.2,55.22,81.04,87.6,0.1767239999935554,256.0,7.939629,2.0095089999995253,128.0,3.969873,1.437895999988541,64.0,1.985489,31014,84.85549132947978,77.12290502793297
adapter_plain,128,80.0,95.2,97.5,64.72,87.62,92.52,0.4016364999915822,512.0,15.879213,4.04115350000211,256.0,7.939665,2.867171000016242,128.0,3.970897,31014,92.48554913294798,90.39106145251398
adapter_plain,256,84.2,96.6,98.5,69.72,90.38,94.7,1.5145324999866716,1024.0,31.758381,8.127048000005743,512.0,15.879249,5.8043834999989485,256.0,7.941713,31014,97.34104046242774,97.37430167597766
adapter_plain,512,86.5,97.5,99.5,71.6,91.74,95.7,3.2681864999904064,2048.0,63.516717,16.462993000004644,1024.0,31.758417,11.623892999996317,512.0,15.883345,31014,100.0,100.0
adapter_mrl,32,78.10000000000001,95.5,98.1,62.13999999999999,86.98,92.84,0.1184389999980339,128.0,3.969837,1.049660999997286,64.0,1.984977,0.7470809999904304,32.0,0.992785,31014,90.18475750577367,87.66930022573362
adapter_mrl,64,83.3,96.3,98.9,67.30000000000001,89.7,94.4,0.1919400000042515,256.0,7.939629,2.019167500002368,128.0,3.969873,1.475158499997633,64.0,1.985489,31014,96.18937644341804,94.94920993227991
adapter_mrl,128,85.1,97.2,98.9,69.17999999999999,90.82,95.02,0.4443390000051295,512.0,15.879213,4.026646999991499,256.0,7.939665,2.950743000001239,128.0,3.970897,31014,98.26789838337184,97.60158013544016
adapter_mrl,256,86.5,96.9,98.9,70.86,90.92,95.18,1.506549999994604,1024.0,31.758381,8.064411000013934,512.0,15.879249,5.861789499995211,256.0,7.941713,31014,99.88452655889148,99.97178329571106
adapter_mrl,512,86.6,97.7,99.1,70.88,91.16,95.22,3.340233500002796,2048.0,63.516717,16.153886499996588,1024.0,31.758417,11.481619000005594,512.0,15.883345,31014,100.0,100.0
